"","Date mutation","Nature mutation","Valeur fonciere","No voie","B/T/Q","Type de voie","Code voie","Voie","Code postal","Commune","Prefixe de section","Section","No plan","Code type local","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"6799","08/07/2020","Vente",21900000,5,NA,"AV","0060","ARISTIDE BERGES",38170,"SEYSSINET-PARISET",NA,"AB",389,2,"Appartement",92,4,NA,NA,NA
"6800","18/06/2020","Vente",6913600,5684,NA,NA,"B067","GRANGE BASSE",38710,"MENS",NA,"AD",37,1,"Maison",186,5,"S",NA,1417
"6801","08/07/2020","Vente",5600000,5453,NA,NA,"B036","CLOS DES FONDS",38860,"LES DEUX ALPES",NA,"AK",384,2,"Appartement",23,2,NA,NA,NA
"6802","26/06/2020","Vente",9565500,636,NA,"RUE","0430","93 EME RAM",38750,"HUEZ",NA,"C",717,2,"Appartement",22,1,NA,NA,NA
"6803","24/06/2020","Vente",1e+07,3,NA,"RUE","0058","DU ROUCHA",38860,"LES DEUX ALPES",534,"AB",663,2,"Appartement",25,2,NA,NA,NA
"6804","18/06/2020","Vente",21500000,151,NA,"AV","0670","VICTOR HUGO",38170,"SEYSSINET-PARISET",NA,"AH",257,2,"Appartement",67,3,NA,NA,NA
"6805","26/06/2020","Vente",16658900,2,NA,"PL","1380","DES ORGIERES",38142,"AURIS",NA,"AC",34,4,"Local industriel. commercial ou assimil<e9>",53,0,NA,NA,NA
"6806","17/06/2020","Vente",12500000,5555,NA,"RES","A190","LA MENANDIERE",38750,"HUEZ",NA,"AC",451,2,"Appartement",25,1,NA,NA,NA
"6807","19/06/2020","Vente",28200000,242,NA,"CHE","0700","DE LA FAUGE",38250,"VILLARD-DE-LANS",NA,"AS",74,2,"Appartement",102,4,NA,NA,NA
"6808","18/06/2020","Vente",26900000,110,NA,"BD","0600","JOLIOT CURIE",38600,"FONTAINE",NA,"AE",104,1,"Maison",88,4,"S",NA,253
"6809","02/07/2020","Vente",6e+06,12,NA,"ALL","0443","SIMONE DE BEAUVOIR",38800,"LE PONT-DE-CLAIX",NA,"AE",146,2,"Appartement",44,2,NA,NA,NA
"6810","29/06/2020","Vente",18700000,49,NA,"BD","0600","JOLIOT CURIE",38600,"FONTAINE",NA,"AK",464,2,"Appartement",80,4,NA,NA,NA
